fecha,valor_indice,fuente,indicador,provisional
2010-01-01,119.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2010-02-01,117.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2010-03-01,120.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2010-04-01,119.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2010-05-01,115.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2010-06-01,116.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2010-07-01,116.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2010-08-01,115.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2010-09-01,117.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2010-10-01,119.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2010-11-01,116.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2010-12-01,114.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2011-01-01,112.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2011-02-01,114.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2011-03-01,109.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2011-04-01,127.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2011-05-01,110.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2011-06-01,110.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2011-07-01,111.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2011-08-01,108.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2011-09-01,104.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2011-10-01,104.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2011-11-01,104.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2011-12-01,105.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2012-01-01,106.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2012-02-01,103.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2012-03-01,106.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2012-04-01,100.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2012-05-01,104.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2012-06-01,101.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2012-07-01,100.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2012-08-01,99.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2012-09-01,95.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2012-10-01,95.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2012-11-01,92.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2012-12-01,93.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2013-01-01,93.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2013-02-01,92.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2013-03-01,91.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2013-04-01,92.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2013-05-01,91.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2013-06-01,94.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2013-07-01,94.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2013-08-01,96.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2013-09-01,94.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2013-10-01,92.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2013-11-01,96.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2013-12-01,93.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2014-01-01,94.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2014-02-01,96.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2014-03-01,95.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2014-04-01,98.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2014-05-01,96.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2014-06-01,96.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2014-07-01,95.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2014-08-01,97.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2014-09-01,95.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2014-10-01,94.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2014-11-01,97.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2014-12-01,99.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2015-01-01,98.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2015-02-01,98.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2015-03-01,99.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2015-04-01,98.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2015-05-01,101.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2015-06-01,97.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2015-07-01,99.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2015-08-01,99.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2015-09-01,102.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2015-10-01,103.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2015-11-01,99.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2015-12-01,100.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2016-01-01,101.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2016-02-01,100.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2016-03-01,101.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2016-04-01,100.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2016-05-01,99.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2016-06-01,102.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2016-07-01,103.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2016-08-01,101.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2016-09-01,100.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2016-10-01,101.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2016-11-01,101.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2016-12-01,101.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2017-01-01,101.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2017-02-01,102.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2017-03-01,101.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2017-04-01,106.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2017-05-01,104.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2017-06-01,102.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2017-07-01,102.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2017-08-01,103.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2017-09-01,106.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2017-10-01,92.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2017-11-01,103.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2017-12-01,102.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2018-01-01,101.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2018-02-01,101.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2018-03-01,102.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2018-04-01,100.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2018-05-01,99.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2018-06-01,101.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2018-07-01,100.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2018-08-01,100.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2018-09-01,97.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2018-10-01,103.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2018-11-01,102.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2018-12-01,101.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2019-01-01,103.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2019-02-01,104.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2019-03-01,101.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2019-04-01,102.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2019-05-01,102.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2019-06-01,101.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2019-07-01,101.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2019-08-01,102.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2019-09-01,103.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2019-10-01,101.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2019-11-01,102.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2019-12-01,103.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2020-01-01,105.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2020-02-01,108.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2020-03-01,38.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2020-04-01,10.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2020-05-01,33.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2020-06-01,70.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2020-07-01,76.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2020-08-01,76.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2020-09-01,78.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2020-10-01,77.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2020-11-01,66.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2020-12-01,79.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2021-01-01,69.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2021-02-01,74.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2021-03-01,82.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2021-04-01,80.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2021-05-01,82.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2021-06-01,84.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2021-07-01,83.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2021-08-01,84.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2021-09-01,90.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2021-10-01,93.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2021-11-01,93.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2021-12-01,91.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2022-01-01,90.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2022-02-01,104.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2022-03-01,90.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2022-04-01,113.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2022-05-01,105.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2022-06-01,94.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2022-07-01,94.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2022-08-01,96.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2022-09-01,96.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2022-10-01,97.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2022-11-01,96.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2022-12-01,104.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2023-01-01,116.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2023-02-01,116.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2023-03-01,127.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2023-04-01,146.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2023-05-01,122.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2023-06-01,117.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2023-07-01,112.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2023-08-01,111.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2023-09-01,113.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2023-10-01,112.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2023-11-01,117.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
2023-12-01,118.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
