anio,geo,valor_pct,fuente,indicador,provisional
2015,Spain,14.33,Eurostat,participacion_empresas_facturacion_ecommerce_pct,False
2016,Spain,15.52,Eurostat,participacion_empresas_facturacion_ecommerce_pct,False
2017,Spain,16.37,Eurostat,participacion_empresas_facturacion_ecommerce_pct,False
2018,Spain,17.13,Eurostat,participacion_empresas_facturacion_ecommerce_pct,False
2019,Spain,17.09,Eurostat,participacion_empresas_facturacion_ecommerce_pct,False
2020,Spain,19.14,Eurostat,participacion_empresas_facturacion_ecommerce_pct,False
2021,Spain,18.95,Eurostat,participacion_empresas_facturacion_ecommerce_pct,False
2022,Spain,19.86,Eurostat,participacion_empresas_facturacion_ecommerce_pct,False
2023,Spain,19.35,Eurostat,participacion_empresas_facturacion_ecommerce_pct,False
2024,Spain,19.52,Eurostat,participacion_empresas_facturacion_ecommerce_pct,False
