fecha,n_eventos_total,n_plataformas,n_tipos_evento,anio,mes_num
2015-10-01,1,1,1,2015,10
2016-09-01,1,1,1,2016,9
2017-02-01,1,1,1,2017,2
2017-04-01,1,1,1,2017,4
2018-10-01,1,1,1,2018,10
2019-12-01,1,1,1,2019,12
2020-03-01,1,1,1,2020,3
2020-07-01,1,1,1,2020,7
2021-03-01,1,1,1,2021,3
2021-06-01,1,1,1,2021,6
2021-09-01,1,1,1,2021,9
2022-02-01,1,1,1,2022,2
2022-03-01,1,1,1,2022,3
2022-06-01,1,1,1,2022,6
2022-09-01,1,1,1,2022,9
2023-03-01,1,1,1,2023,3
2023-07-01,1,1,1,2023,7
2023-11-01,1,1,1,2023,11
2024-04-01,1,1,1,2024,4
2025-03-01,1,1,1,2025,3
