date,choni
2018-12-30,72
2019-01-06,62
2019-01-13,64
2019-01-20,65
2019-01-27,71
2019-02-03,58
2019-02-10,70
2019-02-17,87
2019-02-24,100
2019-03-03,59
2019-03-10,52
2019-03-17,70
2019-03-24,57
2019-03-31,65
2019-04-07,66
2019-04-14,74
2019-04-21,68
2019-04-28,69
2019-05-05,81
2019-05-12,59
2019-05-19,60
2019-05-26,63
2019-06-02,58
2019-06-09,57
2019-06-16,63
2019-06-23,70
2019-06-30,66
2019-07-07,77
2019-07-14,71
2019-07-21,63
2019-07-28,59
2019-08-04,62
2019-08-11,63
2019-08-18,60
2019-08-25,63
2019-09-01,60
2019-09-08,72
2019-09-15,57
2019-09-22,73
2019-09-29,65
2019-10-06,74
2019-10-13,53
2019-10-20,54
2019-10-27,47
2019-11-03,58
2019-11-10,55
2019-11-17,46
2019-11-24,46
2019-12-01,49
2019-12-08,57
2019-12-15,53
2019-12-22,60
2019-12-29,61
