date,comprar ropa online
2020-12-27,89
2021-01-03,93
2021-01-10,84
2021-01-17,88
2021-01-24,100
2021-01-31,91
2021-02-07,61
2021-02-14,94
2021-02-21,57
2021-02-28,72
2021-03-07,72
2021-03-14,58
2021-03-21,70
2021-03-28,75
2021-04-04,66
2021-04-11,65
2021-04-18,60
2021-04-25,60
2021-05-02,60
2021-05-09,70
2021-05-16,50
2021-05-23,57
2021-05-30,59
2021-06-06,74
2021-06-13,64
2021-06-20,56
2021-06-27,54
2021-07-04,58
2021-07-11,65
2021-07-18,33
2021-07-25,53
2021-08-01,31
2021-08-08,42
2021-08-15,37
2021-08-22,47
2021-08-29,68
2021-09-05,56
2021-09-12,51
2021-09-19,70
2021-09-26,84
2021-10-03,43
2021-10-10,68
2021-10-17,49
2021-10-24,75
2021-10-31,53
2021-11-07,70
2021-11-14,82
2021-11-21,70
2021-11-28,65
2021-12-05,62
2021-12-12,59
2021-12-19,65
2021-12-26,81
