date,streetwear
2023-01-01,85
2023-01-08,92
2023-01-15,66
2023-01-22,55
2023-01-29,71
2023-02-05,74
2023-02-12,67
2023-02-19,64
2023-02-26,82
2023-03-05,69
2023-03-12,58
2023-03-19,74
2023-03-26,73
2023-04-02,93
2023-04-09,88
2023-04-16,77
2023-04-23,59
2023-04-30,58
2023-05-07,65
2023-05-14,48
2023-05-21,62
2023-05-28,61
2023-06-04,63
2023-06-11,52
2023-06-18,60
2023-06-25,75
2023-07-02,79
2023-07-09,52
2023-07-16,71
2023-07-23,61
2023-07-30,78
2023-08-06,82
2023-08-13,89
2023-08-20,77
2023-08-27,65
2023-09-03,52
2023-09-10,63
2023-09-17,64
2023-09-24,68
2023-10-01,68
2023-10-08,68
2023-10-15,82
2023-10-22,79
2023-10-29,61
2023-11-05,81
2023-11-12,77
2023-11-19,92
2023-11-26,75
2023-12-03,80
2023-12-10,83
2023-12-17,83
2023-12-24,100
2023-12-31,80
