,fecha,termino,valor_trends,anio,mes_num,grupo,valor_cero_trends,subgrupo,tipo_termino,familia_analitica
count,2505,2505,1894.0,2505.0,2505.0,2505,2505,2505,2505,2505
unique,,19,,,,4,2,9,3,5
top,,comprar ropa online,,,,consciente_compra,False,estetica_sofisticada,estetica,estetica
freq,,132,,,,660,2204,660,1188,1188
mean,2020-06-13 16:52:18.682634,,42.9486272439282,2019.994011976048,6.493413173652694,,,,,
min,2015-01-01 00:00:00,,0.0,2015.0,1.0,,,,,
25%,2017-09-01 00:00:00,,25.0,2017.0,3.0,,,,,
50%,2020-06-01 00:00:00,,46.75,2020.0,6.0,,,,,
75%,2023-03-01 00:00:00,,62.8,2023.0,9.0,,,,,
max,2025-12-01 00:00:00,,100.0,2025.0,12.0,,,,,
std,,,26.011251288077087,3.1600611534378165,3.4495532260006785,,,,,
